ID	LastName	FirstName	Title	Narrative	CrossRef	Index
person16	"Spelling"	"Walter Westaway"	""	"Walter Spelling (1884-1946), brother of Alfred Spelling, Henson's godson; a member of Henson's 'guild' for young male parishioners at Ilford."	"pers.7"  
person15	"Molony"	"Henry William Elliott"	""	"Henry Molony (1858-1919; WWW), vicar, Great Ilford (patron, All Souls), 1892-1912. Non-Coll.; bible clerk, All Souls Coll., Oxford, 1880-2; rector, Stevenage, 1912-18."	"org.7"  
person18	"Marshall"	"Gerald Keith Stirling"	""	"Gerald Marshall (priest, 1891; CCD), vicar, St Simon Zelotes, Bethnal Green, 1899-1912. Hertford Coll., Oxford; curate, Barking, 1890-6, St. Matthew, Bethnal Green, 1896-9; rector, St Nicholas, Cole Abbey, London, 1912-16; vicar of Fulham, 1916."	""  
person17	"Knight"	"Harry"	""	"Harry Knight (b. 1884), a member of Henson's 'guild' for young male parishioners at Ilford."	""  
person22	"Ker"	"William Paton"	""	"William Paton Ker (1855-1923; ODNB), a 'dear friend' of Henson, and best man at his wedding: Retrospect, I, 66. Balliol Coll., Oxford; fellow, All Souls Coll., Oxford, 1879; professor of English literature, University Coll., London, 1889-1922. ; professor of poetry, Oxford, 1920-2. publications include <i>Epic and Romance</i> (1897). "	"pers.628, pers.896, pers.897"  
person20	"Sinclair"	"Louis"	""	"Louis Sinclair (1861-1928; WWW), MP (C) Romford, 1897-1906."	""  
person23	"Gatacre"	"William Forbes"	"Sir"	"Sir William Gatacre (1843-1906; ODNB), army officer, commanding the eastern district at Colchester, 1898-9 and 1900-3. Distinguished service during the Sudan campaign, 1898, but reputation destroyed while serving in the South African war, 1899-1900; Henson referred to his defeat at Stormberg as 'a bad business', adding, 'I know him a little, and his wife very well. She will be much distressed': Henson to Alfred Spelling (copy), 12 Dec. 1899, HHH 173."	"pers.938"  
person24	"Acland"	"Henry"	"Sir"	"Sir Henry Acland (1815-1900; ODNB), regius professor of medicine, Oxford, 1857-94. "	""  
person28	"Rosser"	"Richard"	""	"Richard Rosser (b. 1871), friend of Henson's at Ilford. Trained to be an architect, 1901."	""  
person26	"Bayliss"	"Robert Ernest"	""	"Robert Bayliss (1882-1946), young friend of Henson's at Ilford. Mining company clerk, 1901."	""  
person31	"[Gascoyne-]Cecil"	"[Rupert] William"	"Lord"	"Lord William [Gascoyne-] Cecil (1863-1936; WWW), friend of Henson, and ordained with him at Cuddesdon Coll. University Coll, Oxford; rector, St Audrey's, Hatfield, 1888-1916; provided Henson with access to Hatfield House and to his father, the prime minister, 3rd Marquess of Salisbury; Henson became godfather to his daughter Eve in 1900; bishop of Exeter, 1916-36. On his death, Henson expressed 'real affection' for him; 'until we went apart over Prayer Book Revision, we were generally on the same side': Henson to Lord Hugh Cecil, 27 June 1936, HHA, QUI 51/259; however, see Braley, <i>Letters</i>, 28."	"pers.36,person131,person582,person314"  
person30	"Shadwell"	"Arthur"	""	"Arthur Shadwell (1854-1936), physician and author. Keble Coll., Oxford; prolific writer on public health, temperance and socialism; special correspondent for The Times on cholera epidemics in Russia and Germany, 1892. "	""  
person32	"Johnson"	"Henry Frank"	""	"Henry Johnson (1834-1908; WWW), suffragan bishop and archdeacon of Colchester, 1895-1908. Archdeacon, Essex, 1885-94; a high churchman. "	"pers.181"  
person33	"Nairne"	"John Dommett"	""	"John Nairne (1846-1929; WWW), hon. sec., St. Albans diocesan conference 1885-1905, and rector, Baldock, 1893-1920, and Bygrave, 1901-20. "	""  
person34	"Burrell"	"Herbert John Edwin"	""	"Herbert Burrell (1866-1949; CCD), vicar, Wigginton, Herts, and hon. sec., St Alban's diocesan conference, 1899-1910; Essex county cricketer."	""  
person35	"Johnston"	"Andrew"	""	"Andrew Johnston (1835-1922; WWW), chairman, Essex quarter sessions, 1880-1910, and county council, 1889-1915."	""  
person36	"[Gascoyne-]Cecil"	"Robert Arthur Talbot"	""	"Robert [Arthur Talbot Gascoyne-Cecil], 3rd marquess of Salisbury (1830-1903, ODNB), prime minister (C) 1885-6, 1886-92, 1895-1902, and chancellor, Univ. of Oxford, 1869-1903. Henson owed his appointments at Ilford and Westminster to his ecclesiastical patronage."	"pers.37,person131,person31,person582,person314"  
person39	"Doyle"	"John Andrew"	""	"John Doyle (1844-1907; WWW), historian. Balliol Coll., Oxford; fellow, All Souls Coll., Oxford, 1870; publications include <i>The English in America</i> ( 5 vols, 1882-1907)."	""  
person41	"Davis"	"Henry William Carless"	""	"Henry William Carless Davis (1874-1928; ODNB), historian. Balliol Coll., Oxford; fellow, All Souls Coll., Oxford, 1895-1902; fellow, Balliol Coll., Oxford, 1902-21; professor of modern history, Univ. of Manchester, 1921-5; regius professor of modern history, Oxford, 1925-8; publications include <i>Charlemagne</i> (1900), <i>England under the Normans and Angevins</i> (1905), <i>Medieval Europe</i> (1911), and <i>The Age of Grey and Peel</i> (1929)."	"pers.927"  
person40	"Graham-Harrison"	"William Montagu"	"Sir"	"Sir William Graham-Harrison (1871-1949; ODNB), lawyer and parliamentary draftsman. Magdalen Coll., Oxford; fellow, All Souls Coll., Oxford, 1895-1902; solicitor, Customs and Excise, 1913-17; parliamentary counsel, Treasury, 1917-1933; chancellor of various dioceses, including Durham, 1934-40."	""  
person42	"Steel-Maitland"	"Arthur"	"Sir"	"Sir Arthur Steel-Maitland (1876-1935; ODNB), politician and tariff reformer. Balliol Coll., Oxford; fellow, All Souls Coll., Oxford, 1900; MP(C) East Birmingham, 1910-18, Erdington, 1918-29; assistant commissioner, Poor Law Commission, 1906-7; first chairman of Conservative party, 1911-16; minister of labour, 1924-9; prominent layman in Church of Scotland: member of the general assembly, 1906, and elder of St Columba's, Pont Street London, 1910-24."	"pers.701"  
person43	"McDowall"	"Arthur Sydney"	""	"Arthur McDowall (1877-1933; WWW), scholar and poet. Trinity Coll., Oxford; fellow, All Souls Coll., Oxford, 1900-7."	""  
person44	"Robinson"	"[Joseph] Armitage"	""	"[Joseph] Armitage Robinson (1858-1933; ODNB), churchman and leading patristics scholar. Christ's Coll., Cambridge; rector, St Margaret's, Westminster, and canon, Westminster Abbey, 1899-1902; dean of Westminster, 1902-11, where he was much disliked, by Henson especially, who regarded him as lacking the collegiality necessary to lead the chapter, and as exemplifying the fine-tuned detail but narrowness of Cambridge scholarship: <i>Retrospect</i>, I, 68-9, and Henson to Lady Frances Balfour, 9 June 1909, NRS, GD433/2/338/56; dean of Wells, 1911-33."	""  
person47	"Baden-Powell"	"Robert Stephenson Smyth"	"Lord"	"Robert Baden-Powell (1857-1941; ODNB), army officer and founder of the Boy Scouts (1908) and co-founder of Girl Guides (1915). 1st Baron Baden-Powell (1929)"	""  
person45	"Furse"	"Charles"	""	"Charles Furse (1821-1900; WWW), canon of Westminster Abbey, 1883-1900; archdeacon, Westminster, 1894-1900. "	""  
person49	"Gore"	"Charles"	""	"Charles Gore (1853-1932; ODNB), leading anglo-catholic churchman. Balliol Coll., Oxford; vice-principal, Cuddesdon Coll., 1880-3; co-founder, Community of the Resurrection, 1887; canon, Westminster, 1894-1902; a chaplain to Queen Victoria, 1900-1, and Edward VII, 1901; bishop of Worcester, 1902-4, Birmingham, 1905-11, and Oxford, 1911-19; editor of <i>Lux Mundi</i> (1890), a landmark in the development of liberal theology and social concern within the tradition of high churchmanship; as bishop adopted orthodox position on the creeds; prolific author, including <i>Orders and Unity</i> (1908), <i>The Religion of the Church</i> (1916), and <i>Christ and Society</i> (1928); assisted Henson's ordination, but they later disagreed on theological and ecclesiastical matters; submitted a formal protest against Henson's appointment as bishop of Hereford."	""  
person50	"Lemare"	"Edwin Henry "	""	"Edwin Lemare (1866-1934; WWW), organist, St. Margaret's Church, Westminster 1897-1902. Clashed with Henson and was dismissed for treating church services as organ recitals; became a famous organ player and composer, in the USA as well as Britain; his posthumously published autobiography was entitled Organs I have met (Los Angeles, 1956)."	""  
person52	"Bainbrigge"	"Philip"	""	"Philip Bainbrigge (1848-1919; WWW), vicar, St Thomas, Regent Street, 1883-1919. "	""  
person53	"Farmer"	"Edwin"	""	"Edwin Farmer (1858-1943), canon evangelist, St. Alban's diocese, Pretoria, 1898-1920; author of The Transvaal as a mission field (1900)."	""  
person55	"Knox"	"Cecil Warburton"	""	"Cecil Warburton Knox (1865-1953; CCD), rector, Harston, Leics, 1899-1905; curate, St. Margaret's, Westminster, 1906-11."	"pers.1180, pers.1448"  
person54	"Edwards"	""	""	"Mr Edwards': described in Journal, 5 Oct.1898, as a banker who lived next door to Henson in Ilford."	""  
person57	"Clifford"	"John"	""	"John Clifford (1836-1923; ODNB), minister of the New Connexion of General Baptists, Praed Street, London, 1858-1915, and national leader of the Baptist Church. Prominent campaigner for exclusion of denominational religion in rate-supported schools, following the Education Act of 1902."	"pers.738"  
person56	"Healy"	"Timothy Michael"	""	"Timothy [Tim] Healy (1855-1931; ODNB), Irish politician. MP (N) for various Irish constituencies from 1880, North Louth, 1892-1910; governor-general of the Irish Free State, 1922-8. "	""  
person59	"Warre-Cornish"	"Gerald"	""	"Gerald Warre-Cornish (1874-1916; CCD), curate, St. Margaret's, Westminster, 1899-1901. Author of posthumous St. Paul from the Trenches (1937); killed in action."	"pers.778"  
person61	"Harris"	"Colin Harman"	""	"Colin Harman Harris (1886-1970), young friend of Henson's at Ilford."	""  
person62	"Knight [né Kirshbaum]"	"Samuel Kirshbaum"	""	"Samuel Kirshbaum Knight (1868-1932; WWW), confidant and supporter of Henson from Henson's time in Barking, following him to Barking, Westminster, Hereford, and Durham: see Braley, <i>More Letters</i>, 79-80 (Henson's obit. in <i>Times</i>, 11 May, 1932, 19). Trin. Coll., Dublin; curate, Wardleworth, Lancs, 1892-6, St. Paul's, Barking, 1896-1900, St. Margaret's, Westminster 1900-6; vicar, St. Mark's Notting Hill 1906-9, St. Andrew's, Wells St., 1915-19; Bridstow, Ross 1919-21; examining chaplain to bishop of Hereford, 1918-24, and bishop of Durham 1924-32; rector, Houghton-le-Spring, and rural dean, 1921-4; suffragan bishop of Jarrow and archdeacon and canon of Durham, 1924-1932."	"pers.450"  
person63	"Duke"	"Barter Alexander"	""	"Barter Duke (1875-1959; CCD), curate, Barking, 1899-1902, St Mary the Virgin, Reading, 1902-8, St Luke, Maidenhead, 1908-15, Northbourne, 1915-28; vicar, Furze Platt, Berks, 1928."	""  
person65	"Thesiger "	"Frederic John Napier"	""	"Frederic Thesiger (1868-1933; ODNB), 2nd baron Chelmsford (1905), 1st Viscount Chelmsford (1921), public servant. Magdalen Coll., Oxford; fellow, All Souls Coll., Oxford, 1892-9 and 1929, and warden 1932-3; member, London School Board, 1900-4, London County Council, 1904-5; governor, Queensland, 1905-9, New South Wales, 1910-13; alderman, London County Council, 1913; viceroy of India, 1916-21; first lord of the admiralty (in Labour government) 1924."	"pers.1767"  
person64	"Ingleby [née Walker]"	"Minnie Paula"	""	"Minnie Ingleby [née Walker] (1848-1936), m. (1876) Arthur Ingleby."	"pers.70"  
person66	"Pember"	"Francis William"	""	"Francis Pember (1862-1954; WWW), fellow, All Souls Coll., Oxford,1884 (same year as Henson), and warden, 1914-32; vice-chancellor, Oxford, 1926-9."	"pers.937"  
person67	"Capon"	"Frank Christopher"	""	"Frank Capon (1884-1958), young friend of Henson's while he was at Ilford; insurance clerk, whose potential Henson continued to encourage."	""  
person68	"Pereira"	"Henry Horace"	""	"Henry Pereira (1845-1926; WWW), rural dean, Croydon, 1894-1903; suffragan bishop of Croydon, 1904-24; hon. canon, Canterbury Cathedral, 1904-26."	""  
person70	"Ingleby"	"Arthur"	""	"Arthur Ingleby (1852-1929; CCD), chaplain, St. Mary's Hospital, Ilford, 1882-92. "	"pers.64"  
person72	"Stevens"	"Thomas"	""	"Thomas Stevens (1841-1920; WWW), archdeacon, Essex, 1894-1920. Magdalene Coll., Cambridge; vicar, St John's Stratford, 1889-1901; grand chaplain, English Freemasons, 1896-7; Henson's chosen successor as chaplain, St Mary's Hospital, Ilford, 1901-4; suffragan bishop of Barking, 1901-19. "	""  
person71	"Weekes"	"William Haye"	""	"William Weekes (1867-1945, WWW), rector, Mafeking, 1896 (during the siege), and Beaconsfield, Cape colony, 1901; dean of Bloemfontein, 1922-40."	""  
person74	"Bere"	"Montague Acland"	""	"Montague Bere (1866-1947), curate, St Luke's, Victoria Docks, dioc. St Alban's, 1899-1902. Oxford (non-coll.); priest, 1893; temporary chaplain to forces, 1916-19; mentioned in despatches, 1917."	"pers.905"  
person73	"Bayne"	"Percy Matheson"	""	"Percy Bayne (1865-1942; WWW), archdeacon, Southend, 1922-37. Hertford Coll., Oxford; rector, Little Ilford, 1894-1913; rural dean, Barking, 1912-1913."	""  
person76	"Henson"	"Emma Theodora Parker"	""	"Emma Henson (1841-1924), third wife of Thomas Henson, Henson's father, though unclear whether a formal marriage took place. Beloved stepmother, affectionately nicknamed 'Carissima' by Henson: 'To my stepmother my debt is immeasurable. Not only did she recreate a home, but she brought with her a number of books which had belonged to her first husband. These I devoured, and they gave a lasting direction to my intellectual interest': <i>Retrospect</i>, I, 3."	"pers.83,person77,person84, pers.1095, pers.1096"  
person75	"Hall"	"Thomas Orange"	""	"Thomas Hall (1882-1966), one of Henson's young mentees when Henson was based in Essex. Henson baptised and became godfather for Hall's eldest daughter, Audrey Margaret: Journal, 12 Jan. 1908."	"pers.1417, pers.1416"  
person77	"Henson"	"Marion Edith"	""	"Marion Henson (1865-1923), Henson's younger sister. Lived with stepmother, Emma, throughout her life; Henson supported her financially and wrote affectionately of their relationship: 'May God bless the best sister in the world!': Journal, 14 Nov. 1906."	"pers.76,person83,person84,pers.1096, pers.1095"  
person78	"Bedford"	"Edwin Curtis"	""	"Edwin Bedford (priest, 1886; CCD), rector, St George the Martyr, Holborn, 1899-1902. "	""  
person79	"Trist"	"George Henry"	""	"George Trist (1854-1916; CCD), curate, Great Ilford, 1900. Keble Coll., Oxford."	""  
person80	"Mattinson"	"Miles"	"Sir"	"Sir Miles Mattinson (1854-1944; WWW), MP (C), Walton, Liverpool, 1888-92. QC, 1897."	""  
person81	"Lupton"	"Joseph"	""	"Joseph Lupton (1836-1905; ODNB), preacher, Gray's Inn, 1890-1900. St. John's Coll., Cambridge."	""  
person83	"Henson"	"Thomas"	""	"Thomas Henson (1812-96), father of Henson. Businessman and evangelical, involved with the Plymouth Brethren; source of Henson's contempt for protestant fanaticism; Henson's relationship with his father complex; in the Journals, Henson often used the date of his death and birthday as an opportunity for reflection and introspection."	"pers.76,person461,person77,person84,person112,pers.1096, pers.1095"  
person82	"Marsden"	"Thomas"	""	"Thomas Marsden (1837-1913), vicar, Chigwell, Essex, 1884-1911. St John's Coll., Cambridge."	"pers.1972"  
person85	"Campion"	"William James Heathcote"	""	"William Campion (1851-92), a friend of Henson's while in Oxford. Univ. Coll., Oxford; tutor, Keble Coll., Oxford; committee member, Oxford House; curate, St Paul's, Chichester, 1880-92; contributor on 'Christianity and Politics' in <i>Lux Mundi</i> (1889)."	""  
person84	"Henson"	"Emma Ann"	""	"Emma Henson (1859-96), sister to Henson. Referred to as 'Jennie' in the Journals; Henson was greatly affected by her death and remarked on this loss at significant anniversary intervals."	"pers.76,person83,person77,pers.1096, pers.1095"  
person86	"Cockayne"	"Morton Willoughby"	""	"Morton Cockayne (1866-94), former pupil of Henson, and accompanied him on a walking holiday: Journal, 11 Aug. 1889. Oriel Coll; ord. 1891; curate, Carshalton, Rochdale, 1890-4. "	""  
person87	"Talbot"	"John"	""	"John Talbot, secretary of Henson's benefactor the 3rd Marquess of Salisbury, while Henson was at Barking and Ilford."	""  
person88	"Adderley"	"James Granville"	""	"James Granville Adderley (1861-1942; ODNB), Christian socialist. Christ Church Coll., Oxford; first head of Oxford House mission, Bethnal Green, 1885-6; Christ Church Oxford mission, Poplar, 1887-93; founder member with Charles Gore and Henry Scott Holland of Christian Social Union, 1889; prominent in other Christian socialist ventures; vicar, St Mark's, Marylebone, 1901-4, St Saviour's, Saltley, 1904-13, St Gabriel's, Derintend, 1913-18, St Anne's, Highgate, 1923-9, and St Edmund, Lombard Street, 1929-37; prebendary, St. Paul's Cathedral, 1935-42; Henson disliked his socialism, but admired his fundamental goodness and moral courage: ODNB."	"pers.729"  
person90	"Garstang"	"Robert"	""	"Robert Garstang (1861-1910), schoolmaster, Barking."	""  
person91	"Swallow"	"Richard Dawson"	""	"Richard Swallow (1847-1930; WWW), headmaster, Chigwell School, 1876-1912. Corpus Christi Coll., Cambridge; hon. sec., Incorporated Assoc. of Headmasters, 1895-1912, and president, 1913; rector, St. Mary Abchurch, Pountney, 1912-1930; canon, Chelmsford, 1912; member, London Education Committee, 1913-28; master, Guild of St. Edmund, 1921-28."	""  
person94	"Jackson [née Staines]"	"Amelia"	""	"Amelia Jackson [née Staines] (1842-1925), wife of William Jackson. Endowed several undergraduate and postgraduate studenships at Exeter Coll., Oxford; Amelia Jackson Society founded in 2013 in her honour."	"pers.93"  
person93	"Jackson"	"William Walrond Jr."	""	"William Jackson (1838-1931; WWW), rector, Exeter Coll., Oxford, 1887-1913. Balliol Coll., Oxford; select preacher, Oxford, 1880-82, 1903-4; censor of Oxford (non-collegiate) students, 1883-7."	"pers.94"  
person95	"Ramsey"	"Harry Blashfield"	""	"Harry Ramsey (b. 1880), stock broker's clerk (1901). Young friend of Henson's while at Ilford, who he continued to advise and encourage."	""  
person97	"Robins"	"Cyril Ansgar Wilberforce"	""	"Cyril Robins (1866-1945), curate, St. Margaret's, Westminster, 1895-1901; vicar, Holy Trinity, Hendford, 1901-10."	""  
person96	"Pelham"	"Henry Francis"	""	"Henry Pelham (1846-1907; ODNB), historian and president of Trinity Coll. Oxford, 1897-1907."	""  
person98	"Hunt"	"Henry Arthur"	""	"Henry Arthur Hunt (1836-1904), rector's churchwarden, St. Margaret's, Westminster, 1883-1904. Surveyor; actively involved throughout his life with educational and charitable organisations in Westminster, including the United Westminster Schools, Grey Coat School, and the Royal Masonic Institution for Girls."	"pers.616"  
person99	"Bradley"	"George Granville"	""	"George Bradley (1821-1903; ODNB), teacher and broad churchman. University Coll., Oxford; headmaster of Marlborough College, 1858-70; master of University College, Oxford, 1870-1881; dean of Westminster,1881-1902."	""  
person100	"Peabody"	"James Henry"	""	"James Peabody (1872-1928), curate, Great Ilford, 1898-1905; vicar, St James's, Clacton, 1916-28."	""  
person102	"Romanes [née Duncan]"	"Ethel"	""	"Ethel Romanes [née Duncan] (1856-1927; ODNB), writer and religious activist, who, with her husband the evolutionary biologist George John Romanes, was closely associated with the anglo-catholic wing of the Church; converted to Roman Catholicism in 1919."	""  
person101	"Maisy"	"Frederick"	""	"Frederick Maisy (b. 1877), police constable."	""  
person104	"Kempe"	"Charles Eamer"	""	"Charles Kempe (1837-1907; ODNB), stained-glass artist. Pembroke Coll., Oxford; an Anglo-Catholic; ran his own stained-glass business; provided windows for many cathedrals, and was influential in the development of late-nineteenth-century Anglican church decoration."	""  
person103	"Ainger"	"Alfred"	""	"Alfred Ainger (1837-1904; WWW), master of the Temple, 1894-1904. Trinity Hall, Cambridge; reader, Temple Church, 1866-93."	""  
person105	"Talbot"	"Edward Stuart"	""	"Edward Talbot (1844-1934, ODNB), bishop of Rochester, 1895-1905, bishop of Southwark, 1905-11, and bishop of Winchester, 1911-23. Christ Church Coll., Oxford; first warden of Keble College, Oxford,1870-88; vicar, Leeds, 1889-95; a chaplain to the queen, 1894; publications include 'The preparation in history for Christ' in Gore (ed.), <i>Lux Mundi</i> (1889); <i>The Witness of the Body to the Catholic Religion</i> (1914); <i>The War and Conscience</i> (1914); <i>The Spiritual Sanctions of a League of Nations</i> (1919); a 'true son of the Oxford Movement', and described himself politically as a 'Conservative with a bad conscience' (ODNB); disdained by Henson as an 'obscurantist.' "	"pers.107,person106"  
person106	"Talbot [née Lyttelton]"	"Lavinia"	""	"Lavinia Talbot [née Lyttelton] (1849-1939; ODNB), wife of Edward Stuart Talbot. Promoter of women's education; shared her husband's Anglo-Catholic faith; niece of W. H. Gladstone by his marriage to Catherine, sister of Lavinia's mother, Mary Glynne; twelve siblings included Alfred Lyttelton, colonial secretary, Neville Gerald Lyttelton, military officer, and Arthur Temple Lyttelton, suffragan bishop of Southampton."	"pers.107,person105,person539, pers.1288, pers.1195"  
person108	"Wheeler"	"Thomas Whittenbury"	""	"Thomas Wheeler (1839-1923; WWW), judge, county court. Trinity Hall, Cambridge; QC, 1886; member, vestry of Kensington, 1894-7, chairman, 1897; chairman, Liberal Unionist Association, South Kensington, 1892-8."	""  
person107	"Ford [née Talbot]"	"Mary Catherine"	""	"Mary Talbot (1875-1957), daughter of Edward and Lavinia Talbot; m. Lionel Ford (1865-1932), dean of York, 1925-32."	"pers.106,person105"  
person109	"Wilberforce"	"[Albert] Basil Orme"	""	"[Albert] Basil Wilberforce (1841-1916; WWW), canon, Westminster, 1894-1900; chaplain to the speaker of the House of Commons, 1896-1916; archdeacon, Westminster, 1900-16; Exeter Coll., Oxford; grandson of William Wilberforce and youngest son of Samuel Wilberforce (1805-73), bishop of Oxford and Winchester."	"pers.507,person1757, pers.1217"  
person110	"Hoskyns"	"Benedict George"	""	"Benedict Hoskyns (1856-1935; WWW), canon, Truro Cathedral, 1895-1902; vicar, St Peter's, Brighton, 1902-17; archdeacon, Hastings, 1915-20, and Chichester, 1920-34. "	"pers.111"  
person112	"Henson [née Dennistoun]"	"Isabella Caroline [Ella]"	""	"Isabella Caroline [Ella] Henson [née Dennistoun] (1869-1949), wife of Henson (m. 1902). Only daughter of James Dennistoun and Caroline, née Gore Booth; throughout their marriage, the Hensons travelled to Scotland many times to visit Ella's extended family."	"pers.556,person76,person83,person584,person828"  
person111	"Hoskyns"	"Edwyn"	"Sir"	"Sir Edwyn Hoskyns (1851-1925; WWW),vicar of Bolton, 1895-1901; suffragan bishop of Burnley, 1901-4; bishop of Southwell, 1904-25. "	"pers.110"  
person113	"Knowling"	"Harold Wilfred"	""	"Harold Wilfred Knowling (1888-1954), protégé of Henson's. Originally from Stratford, joined the choir at St. Margaret's Westminster, after public recognition of his clear soprano vocal; became principal chorister; the Hensons took special interest in the boy, especially after Henson intervened when he suffered unsolicited attentions from Archibald Routledge, a St. Margaret's parishioner; lived with the Hensons at 17 Dean's Yard for several years, while working towards a music career and later during appointments in the law courts and lord chancellor's office; particularly after the stillbirth of his son, a great comfort to Henson; m. (1911) Alice Graham, daughter of Sir Henry Graham; served with the Welsh Guards during the First World War, becoming captain; fell out with Henson over his divorce (1924) and second marriage (1925) to Meriel Buchanan, authoress and daughter of Sir George Buchanan; shortly before Henson's death, there was a reunion."	"pers.327,person331,person328,pers.2056, pers.957"  
person114	"Welldon"	"James Edward Cowell"	""	"James Welldon (1854-1937; ODNB), headmaster of Harrow, 1885-98; canon, Westminster, 1902-6; bishop of Calcutta, 1898-1902; dean of Manchester Cathedral, 1906-18; Henson's successor as dean of Durham, 1918-33, with frequently strained relations between them; renowned Aristotelian scholar; temperance campaigner."	""  
person117	"Rashdall"	"Hastings"	""	"Hastings Rashdall (1858-1924; ODNB), theologian and historian. New Coll., Oxford; fellow, New Coll., Oxford, 1895-1917; founding member of the Christian Social Union (1890), and teacher for the Workers' Educational Association; loyal to the principles of his teacher, T.H. Green, in both theology and politics; dean of Carlisle, 1917-24; publications include <i>The Universities of Europe in the Middle Ages</i> (3 vols, 1895), <i>Philosophy and Religion</i> (1909), and <i>The Idea of Atonement in Christian Theology</i> (1919); Henson recalled that while at Oxford he had clashed with Rashdall over CSU policy, though 'later he became a personal friend for whom I formed a genuine respect and affection, but he was never so socialistic as the others': Henson to Hunter, 21 Mar. 1943, BHP/164/HH21; however, their theological differences were marked, especially following Henson's retreat from modernism after 1914."	"pers.992"  
person115	"Buchanan"	"Thomas Ryburn"	""	"Thomas Buchanan (1846-1911; ODNB), fellow, All Souls Coll., Oxford, 1871. Balliol Coll., Oxford; MP (L), Edinburgh,1881-5, and West Edinburgh, 1885-92; MP (GL), Aberdeenshire East,1892-1900; MP (L), Perthshire East, 1903-1910; financial secretary, War Office, 1906-8; under-secretary, India Office, 1908-9."	"pers.977"  
person118	"Creighton"	"Mandell"	""	"Mandell Creighton (1843-1901; ODNB), bishop of London, 1897-1901. Merton Coll., Oxford; first Dixie professor of ecclesiastical history, Cambridge, 1884-9; bishop of Peterborough, 1891-7; publications included <i>The English National Character</i> (1896); Henson preached on Creighton after his funeral in Westminster Abbey ('Christian Versatility', in <i>Godly Union and Concord</i> (1902), 30-44) and recalled attending Creighton's lectures 'nearly twenty years ago', adding that '[h]e is a very great loss: quite one of the most eminent men in the Church of England': Henson to Spelling, 22 Apr. 1901, HHH178."	"pers.740"  
person119	"Talbot"	"George John"	"Sir"	"Sir George Talbot (1861-1938; ODNB), ecclesiastical lawyer and chancellor of six dioceses. Christ Church Coll., Oxford.; fellow, All Souls Coll., Oxford, 1886."	"pers.232,person693,person352"  
